ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,logKH_CH4
2235.99,1983.9,6.49522,8.23302,8.23302,0.0,0.722685,0.62334,0.0,0.0,0.8625339999999999,2235.99,2592.3499827253186,0.62334,0.722685,-5.17583314770219
817.885,6688.83,4.85353,5.8709500000000014,5.870480000000001,0.0,0.177115,0.2549,0.0,0.0,1.43918,817.885,568.2993093289233,0.2549,0.177115,-4.969776856787634
0.0,6560.88,3.43684,4.74821,4.74019,612.367,0.0,0.0,0.246505,0.23806,0.96574,612.367,634.0909561579721,0.23806,0.246505,-4.730050645725044
1472.64,966.699,5.27198,6.2294,6.22457,0.0,0.399899,0.4581,0.0,0.0,1.14554,1472.64,1285.542189709657,0.4581,0.399899,-4.897706965390311
635.156,4460.37,3.79303,5.86134,5.86134,0.0,0.232078,0.2319,0.0,0.0,0.999234,635.156,635.6429024632869,0.2319,0.232078,-4.429805102109475
308.715,1595.32,4.225219999999999,4.65845,4.6420900000000005,0.0,0.0768823,0.14992,0.0,0.0,1.94999,308.715,158.31619649331532,0.14992,0.0768823,-4.8091166780265295
0.0,5423.56,3.39969,5.76284,5.26558,477.812,0.0,0.0,0.12884,0.18532,1.43838,477.812,332.18759993882014,0.18532,0.12884,-5.2272991847266725
562.1080000000001,1762.26,3.91959,4.91458,4.91458,0.0,0.163331,0.26774,0.0,0.0,1.63925,562.1080000000001,342.90559707183155,0.26774,0.163331,-5.273280939163971
583.524,1770.12,3.96901,4.9428,4.934480000000001,0.0,0.1657759999999999,0.27054,0.0,0.0,1.63196,583.524,357.56023431946863,0.27054,0.1657759999999999,-5.272235147015044
1029.33,3343.37,5.3900500000000005,6.59669,6.562,0.0,0.112038,0.30866,0.0,0.0,2.75496,1029.33,373.6279292621308,0.30866,0.112038,-6.665186496446912
1050.06,4643.33,9.82723,10.25461,10.24056,0.0,0.355093,0.3806199999999999,0.0,0.0,1.07189,1050.06,979.6341042457716,0.3806199999999999,0.355093,-5.218200121416492
1051.11,4653.81,9.92334,10.34811,10.34811,0.0,0.356324,0.38108,0.0,0.0,1.06947,1051.11,982.832618025751,0.38108,0.356324,-5.229749055458157
1026.82,4657.1,9.65715,10.25508,10.24861,0.0,0.347687,0.37158,0.0,0.0,1.06872,1026.82,960.7942211243356,0.37158,0.347687,-5.231496573116452
1032.07,4637.18,9.86894,10.30863,10.26273,0.0,0.35561,0.38168,0.0,0.0,1.07331,1032.07,961.5768044646932,0.38168,0.35561,-5.220037903037388
1137.73,1312.84,5.39741,6.00475,6.00471,0.0,0.369775,0.3799,0.0,0.0,1.02738,1137.73,1107.4091378068483,0.3799,0.369775,-4.576901647354533
1060.58,1294.79,5.3907,5.73459,5.73388,0.0,0.345338,0.35974,0.0,0.0,1.0417,1060.58,1018.1242200249592,0.35974,0.345338,-4.506728812508271
1169.64,2622.57,5.24857,5.77811,5.77811,0.0,0.3618699999999999,0.3722200000000001,0.0,0.0,1.0286,1169.64,1137.1184133774066,0.3722200000000001,0.3618699999999999,-4.522156968903186
